actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_TCP_pose_0 actual_TCP_pose_1 actual_TCP_pose_2 actual_TCP_pose_3 actual_TCP_pose_4 actual_TCP_pose_5
4.39863920211792 -1.5823022327818812 1.7397993246661585 4.491030378932617 -1.4523842970477503 -5.594030682240621 -0.004698341281416118 0.5281156079500122 0.24377560051671007 -2.7162683339137677 1.4792509145658843 0.19389963763344725
4.398674964904785 -1.582278390923971 1.7397640387164515 4.49104277669873 -1.452371899281637 -5.593994919453756 -0.004717361605147559 0.5281265772998639 0.2437804517464692 -2.7162741720647197 1.479253627802501 0.19392100827348144
4.39866304397583 -1.582278390923971 1.7397640387164515 4.491030378932617 -1.4523480574237269 -5.594018999730245 -0.004716569411503196 0.5281320278323587 0.24378271330912687 -2.7162734710259655 1.4792291899559054 0.19395895745105687
4.39866304397583 -1.5823141537108363 1.7397993246661585 4.491054220790527 -1.4523962179767054 -5.5940545240985315 -0.004710009422658035 0.528107142688109 0.24377835448540794 -2.716312216881538 1.479192843385328 0.193878705811998
4.39866304397583 -1.5823265514769496 1.7397993246661585 4.491030378932617 -1.4523842970477503 -5.594030682240621 -0.004711545583074005 0.5281136188668161 0.2437877860432525 -2.7162669818372436 1.4792057102338119 0.19390598699134884
4.39868688583374 -1.582266469995016 1.7398117224322718 4.491030378932617 -1.4523604551898401 -5.594018999730245 -0.00473052094468176 0.5281161505378148 0.24375220181198531 -2.716340730810273 1.4792305341763343 0.19392746271820518
4.398651123046875 -1.582278390923971 1.7398117224322718 4.491006537074707 -1.4523842970477503 -5.594006840382711 -0.004703291884475188 0.5281197329498483 0.24376020370441429 -2.7162718021105543 1.479274918583361 0.19389817609967175
4.39866304397583 -1.582278390923971 1.7397754828082483 4.490982695216797 -1.4523604551898401 -5.594006840382711 -0.004710238410453928 0.5281400065324795 0.24378215568853978 -2.7162337624317416 1.4792256902213652 0.19394861503098026
4.39868688583374 -1.5823141537108363 1.7397869269000452 4.49104277669873 -1.4523842970477503 -5.5940545240985315 -0.004723577143810328 0.5281151937962641 0.24378637877989548 -2.7163125338495684 1.479147900340815 0.19390318881496907
4.398674964904785 -1.582278390923971 1.7397993246661585 4.491030378932617 -1.452371899281637 -5.594030682240621 -0.004720047518480222 0.5281183539570241 0.24376406660534333 -2.7163178392525085 1.4792166519540995 0.19391455592750775
4.398651123046875 -1.582278390923971 1.7397754828082483 4.491054220790527 -1.4523962179767054 -5.594066683446066 -0.004700271874214795 0.528117763531962 0.24377249732451403 -2.7163210262733077 1.4791984753687841 0.1938751325686958
4.39868688583374 -1.5823022327818812 1.7398117224322718 4.491006537074707 -1.452371899281637 -5.5940426031695765 -0.0047262000682590285 0.5281187991016648 0.24377256313298243 -2.7163061548891165 1.479164557021208 0.19392250994991145
4.398627281188965 -1.5822540722289027 1.7398346106158655 4.491030378932617 -1.4523604551898401 -5.594018999730245 -0.004701169645099397 0.5281098947151759 0.24373440986120423 -2.716322881826715 1.4793293460780272 0.19391733829333194
4.39866304397583 -1.582278390923971 1.7397869269000452 4.490982695216797 -1.4523361364947718 -5.5940426031695765 -0.004718166761568219 0.5281383679923285 0.24377717520390388 -2.7162704124270944 1.4791824863769234 0.1939819332495871
4.39866304397583 -1.582278390923971 1.7397754828082483 4.491018458003662 -1.4523842970477503 -5.5940426031695765 -0.004706758586388526 0.5281283404836582 0.24377712785998323 -2.716285501491842 1.4791960451894262 0.1939027582849289
4.398627281188965 -1.5823384724059046 1.7397640387164515 4.49104277669873 -1.4523842970477503 -5.594006840382711 -0.004690273340017974 0.5281210891652798 0.24381014498468134 -2.716193225251798 1.4792670638497227 0.19391336752373906
4.39866304397583 -1.5823022327818812 1.7397993246661585 4.491018458003662 -1.452371899281637 -5.593994919453756 -0.004713320252084841 0.5281197702439623 0.24377742452605394 -2.716254084602183 1.4792621835583264 0.19392348617390043
4.398651123046875 -1.582266469995016 1.7397869269000452 4.491030378932617 -1.452371899281637 -5.594066683446066 -0.004705834621793246 0.528123444819627 0.24376436579811034 -2.7163232526944183 1.4791981586701075 0.19391246062160777
4.398674964904785 -1.582266469995016 1.7397506872760218 4.491018458003662 -1.4523604551898401 -5.594090525303976 -0.004716689408660178 0.5281393876602785 0.24378449353292475 -2.7163196213006 1.4791066579426317 0.19394080253565457
4.39863920211792 -1.582278390923971 1.7397640387164515 4.491030378932617 -1.4523480574237269 -5.594006840382711 -0.004703977761338771 0.528132140134026 0.24378271330912687 -2.71624622384652 1.479277746772776 0.1939585277446385
4.39863920211792 -1.5822903118529261 1.7397754828082483 4.491030378932617 -1.452371899281637 -5.5940545240985315 -0.004698920404602002 0.5281254072807056 0.24378210273227868 -2.716276064623046 1.4792112771269867 0.19392040589060905
4.39868688583374 -1.582278390923971 1.7397640387164515 4.491054220790527 -1.4523480574237269 -5.5940426031695765 -0.004731225994672201 0.5281255153696613 0.24377989079341766 -2.7163283709115866 1.4791781003690019 0.19395359073395974
4.398674964904785 -1.5823022327818812 1.7397754828082483 4.491030378932617 -1.4523604551898401 -5.594030682240621 -0.004721265325350778 0.5281253106442167 0.2437884571639141 -2.7162793205773044 1.4791902102166432 0.19394279032057693
4.398698806762695 -1.582266469995016 1.7397869269000452 4.490982695216797 -1.4524081389056605 -5.594030682240621 -0.004716889964029226 0.5281328789994255 0.24376880453339841 -2.7162929222381713 1.4791579458938284 0.19387084347612954
